المعرف,المدينة الكبرى,النطاق الجغرافي,المنطقة / الحي,البلدية,الاسم البديل,خط العرض,خط الطول,بُعد عن مركز المدينة (كم),دقة البلدية,تعريب مطلوب,المصدر
0001,طرابلس,جنوب شرق طرابلس,Alsaaba'a,سوق الجمعة,,32.851693,13.263033,9.4,3.6 كم,نعم,OSM relation/14714391
0002,طرابلس,جنوب شرق طرابلس,Badri,أبوسليم,,32.83361,13.212397,7.7,3.9 كم,نعم,OSM relation/14714482
0003,طرابلس,جنوب شرق طرابلس,Farnaj,سوق الجمعة,,32.845009,13.234216,7.8,4.8 كم,نعم,OSM relation/14714426
0004,طرابلس,جنوب شرق طرابلس,الجنين تاجوراء,عين زارة,Al jiniyn Tajoura,32.757707,13.444966,29.4,15.4 كم,لا,OSM node/4438222796
0005,طرابلس,جنوب شرق طرابلس,الحي المغلق- السدرة,عين زارة,Alsedra close residential place,32.798876,13.238378,12.3,4.6 كم,لا,OSM node/6175328885
0006,طرابلس,جنوب شرق طرابلس,السبعة,سوق الجمعة,ASsabaa,32.837295,13.254213,9.7,5.1 كم,لا,OSM way/991803802
0007,طرابلس,جنوب شرق طرابلس,العميد,عين زارة,,32.738808,13.354357,24.1,8.9 كم,لا,OSM node/5471177051
0008,طرابلس,جنوب شرق طرابلس,اللانشة,أبوسليم,Al lansha,32.868625,13.200814,3.8,4.1 كم,لا,OSM node/7625965408
0009,طرابلس,جنوب شرق طرابلس,المدار,أبوسليم,Almadar,32.867379,13.207038,4.3,4.4 كم,لا,OSM node/5475837423
0010,طرابلس,جنوب شرق طرابلس,النعم,عين زارة,Al Naeam,32.666185,13.395215,32.7,17.6 كم,لا,OSM node/5471177060
0011,طرابلس,جنوب شرق طرابلس,الهضبة الشرقية,أبوسليم,Eastern Hadbah,32.852028,13.212393,5.9,4.0 كم,لا,OSM node/7580296867
0012,طرابلس,جنوب شرق طرابلس,باب بن غشير,أبوسليم,Bab Ben Ghashir,32.866316,13.197293,3.8,3.6 كم,لا,OSM relation/14714289
0013,طرابلس,جنوب شرق طرابلس,بونعيم,أبوسليم,Abu Naeem,32.853854,13.206291,5.5,3.5 كم,لا,OSM node/7625965405
0014,طرابلس,جنوب شرق طرابلس,تقسيم بن دخيل,أبوسليم,Bin Dakhil,32.859824,13.204429,4.8,3.7 كم,لا,OSM node/7625965406
0015,طرابلس,جنوب شرق طرابلس,حي السرور,تاجوراء,Al Sorour,32.807353,13.418765,24.6,10.5 كم,لا,OSM node/4777337522
0016,طرابلس,جنوب شرق طرابلس,حي العين,عين زارة,Al Ain neighborhood,32.801676,13.284308,14.5,0.8 كم,لا,OSM node/4752599725
0017,طرابلس,جنوب شرق طرابلس,حي النجع,عين زارة,,32.77776,13.26107,15.3,3.1 كم,لا,OSM node/5090394022
0018,طرابلس,جنوب شرق طرابلس,حي الياسمين,عين زارة,Jasmine Town,32.810259,13.232349,10.9,5.4 كم,لا,OSM node/5335212722
0019,طرابلس,جنوب شرق طرابلس,حي بني وليد,عين زارة,Bani Walid Suburb,32.819639,13.320935,15.9,4.2 كم,لا,OSM node/6446871685
0020,طرابلس,جنوب شرق طرابلس,حي دمشق,أبوسليم,,32.856772,13.2002,4.9,3.2 كم,لا,OSM relation/14714293
0021,طرابلس,جنوب شرق طرابلس,حي طيبة,عين زارة,Hay Taiba,32.763219,13.270837,17.2,3.9 كم,لا,OSM node/4685189794
0022,طرابلس,جنوب شرق طرابلس,خلة عرادة,عين زارة,Khalla Arada,32.743492,13.288835,19.9,5.8 كم,لا,OSM node/7242250210
0023,طرابلس,جنوب شرق طرابلس,خلة فارس,عين زارة,Khalla Fares,32.771576,13.364443,22.3,7.7 كم,لا,OSM node/7241078223
0024,طرابلس,جنوب شرق طرابلس,راس حسن,سوق الجمعة,,32.872273,13.21586,4.5,4.0 كم,لا,OSM relation/14714070
0025,طرابلس,جنوب شرق طرابلس,زناتة,سوق الجمعة,,32.864024,13.23252,6.3,3.1 كم,لا,OSM relation/14714369
0026,طرابلس,جنوب شرق طرابلس,سيدي المصري,سوق الجمعة,SIDI EL MASSRI,32.869219,13.210686,4.3,4.6 كم,لا,OSM node/4931695821
0027,طرابلس,جنوب شرق طرابلس,صلاح الدين,أبوسليم,,32.832017,13.233426,8.9,5.9 كم,لا,OSM relation/14714480
0028,طرابلس,جنوب شرق طرابلس,عمارات أبن النفيس,أبوسليم,Ibn Nafis,32.826511,13.224203,8.9,5.2 كم,لا,OSM node/4760785821
0029,طرابلس,جنوب شرق طرابلس,عين زارة -خمسة شوارع,عين زارة,Ain Zara 5 St,32.832256,13.254101,10.1,5.1 كم,لا,OSM node/1565509061
0030,طرابلس,جنوب شرق طرابلس,قرية المزاوغة,عين زارة,Mazawgha Village,32.828537,13.254716,10.4,4.8 كم,لا,OSM node/7794281877
0031,طرابلس,جنوب شرق طرابلس,قرية كوسا,عين زارة,Kusa Village,32.778714,13.395108,24.2,10.3 كم,لا,OSM node/5892408098
0032,طرابلس,جنوب طرابلس,Hadhba Alkhdra,أبوسليم,,32.83281,13.205027,7.5,3.3 كم,نعم,OSM relation/14714484
0033,طرابلس,جنوب طرابلس,Hai Al-Akukh,أبوسليم,,32.839872,13.156296,6.6,1.4 كم,نعم,OSM relation/14708094
0034,طرابلس,جنوب طرابلس,Naseer Park,أبوسليم,,32.861967,13.186334,3.9,2.6 كم,نعم,OSM relation/14708294
0035,طرابلس,جنوب طرابلس,Shuhada Damoun,أبوسليم,,32.852919,13.182195,4.9,1.6 كم,نعم,OSM relation/14713989
0036,طرابلس,جنوب طرابلس,Tariq Almathar,أبوسليم,,32.850225,13.156508,5.5,1.7 كم,نعم,OSM relation/14708130
0037,طرابلس,جنوب طرابلس,أبوسليم,أبوسليم,,32.835911,13.171147,6.8,0.6 كم,لا,OSM relation/14714528
0038,طرابلس,جنوب طرابلس,أم درمان,أبوسليم,Um durman,32.853134,13.185605,4.9,1.8 كم,لا,OSM node/7625965404
0039,طرابلس,جنوب طرابلس,الهضبة الخضراء خالد بن الوليد,أبوسليم,Al-Hadba Al-Khadra Khaled Ben Al-Waleed,32.840016,13.186433,6.4,1.4 كم,لا,OSM node/3217375061
0040,طرابلس,جنوب طرابلس,حديقة حيوان,أبوسليم,,32.858952,13.178594,4.2,2.0 كم,لا,OSM relation/14708161
0041,طرابلس,جنوب طرابلس,حي أبوشهيوة,قصر بن غشير,Abu Shihyah,32.667265,13.190758,25.5,2.5 كم,لا,OSM node/8780965542
0042,طرابلس,جنوب طرابلس,حي أبوظهير,قصر بن غشير,Abu Dhahir,32.684908,13.178417,23.5,0.2 كم,لا,OSM node/8780903700
0043,طرابلس,جنوب طرابلس,حي الأنوار السكني,قصر بن غشير,Al-Anwar District,32.741926,13.182019,17.2,6.2 كم,لا,OSM node/4580665489
0044,طرابلس,جنوب طرابلس,حي الاكابر,قصر بن غشير,Al Akaber,32.681291,13.177019,23.9,0.5 كم,لا,OSM node/8780903701
0045,طرابلس,جنوب طرابلس,حي الانتصار,أبوسليم,Al Antisar,32.853343,13.161188,5.1,1.6 كم,لا,OSM node/4890541422
0046,طرابلس,جنوب طرابلس,حي التوتة,أبوسليم,,32.774768,13.181737,13.6,7.5 كم,لا,OSM node/9951637817
0047,طرابلس,جنوب طرابلس,حي الحداد,أبوسليم,Al Haddad,32.83482,13.194982,7.1,2.3 كم,لا,OSM node/7885064071
0048,طرابلس,جنوب طرابلس,حي الزهور- صلاح الدين,أبوسليم,Azzohour -Salah Adden,32.806551,13.221839,10.8,6.1 كم,لا,OSM node/7245975476
0049,طرابلس,جنوب طرابلس,حي السلام,قصر بن غشير,Salam District,32.748591,13.180834,16.5,7.0 كم,لا,OSM node/9636491792
0050,طرابلس,جنوب طرابلس,حي الكادوشي,أبوسليم,,32.796647,13.166952,11.2,5.0 كم,لا,OSM node/5502598321
0051,طرابلس,جنوب طرابلس,حي الملجا,قصر بن غشير,Hay Al Malja,32.689273,13.174233,23.1,0.4 كم,لا,OSM node/8988682147
0052,طرابلس,جنوب طرابلس,حي بلوزة,أبوسليم,Blouse suburb,32.845754,13.184382,5.7,1.3 كم,لا,OSM node/7885064072
0053,طرابلس,جنوب طرابلس,خلة الفرجان,عين زارة,Khalla Al Ferjan,32.783421,13.216784,13.1,6.7 كم,لا,OSM node/7241078225
0054,طرابلس,جنوب طرابلس,عبدالله بن الزبير,أبوسليم,Abdullah bin Al-Zubair,32.836503,13.203678,7.1,3.0 كم,لا,OSM node/7885064070
0055,طرابلس,جنوب طرابلس,غرغور,أبوسليم,Gharghur,32.863404,13.168924,3.8,2.4 كم,لا,OSM relation/14708296
0056,طرابلس,جنوب طرابلس,منطقة حي الأكواخ سابقا,أبوسليم,The former tin neighborhood,32.841236,13.155036,6.5,1.6 كم,لا,OSM node/4487407135
0057,طرابلس,جنوب غرب طرابلس,Addrebe,حي الأندلس,,32.848403,13.129286,7.0,3.0 كم,نعم,OSM relation/14710626
0058,طرابلس,جنوب غرب طرابلس,Alfaih Industrial Region,أبوسليم,,32.847137,13.147383,6.2,2.3 كم,نعم,OSM relation/14708154
0059,طرابلس,جنوب غرب طرابلس,Arriadia,حي الأندلس,,32.861125,13.142912,5.1,2.1 كم,نعم,OSM relation/14710691
0060,طرابلس,جنوب غرب طرابلس,Gargaresh,حي الأندلس,,32.875296,13.130918,5.0,0.2 كم,نعم,OSM relation/14710700
0061,طرابلس,جنوب غرب طرابلس,Gurji,حي الأندلس,,32.870905,13.152757,3.7,2.3 كم,نعم,OSM relation/14710506
0062,طرابلس,جنوب غرب طرابلس,Gurji Alshemalia,حي الأندلس,,32.860231,13.122891,6.5,1.7 كم,نعم,OSM relation/14708557
0063,طرابلس,جنوب غرب طرابلس,Kashliaf,حي الأندلس,,32.856391,13.131926,6.2,2.1 كم,نعم,OSM relation/14710628
0064,طرابلس,جنوب غرب طرابلس,Qaryat Salah,حي الأندلس,,32.853535,13.122354,7.1,2.5 كم,نعم,OSM relation/14710627
0065,طرابلس,جنوب غرب طرابلس,الدعوة الإسلامية,حي الأندلس,Islamic Call Society,32.834502,13.116402,9.0,4.6 كم,لا,OSM node/1565509969
0066,طرابلس,جنوب غرب طرابلس,الكريمية,سواني بن أدم,Al Krimiya,32.752202,13.062822,19.3,4.4 كم,لا,OSM way/342138800
0067,طرابلس,جنوب غرب طرابلس,حي الآثار,حي الأندلس,Al Athar District,32.865795,13.113396,6.9,1.7 كم,لا,OSM node/7990031995
0068,طرابلس,جنوب غرب طرابلس,حي الاسلامي,حي الأندلس,Islamic neighborhood,32.848725,13.119908,7.6,3.0 كم,لا,OSM node/4384949290
0069,طرابلس,جنوب غرب طرابلس,حي الزهور,أبوسليم,hay al zohor,32.83839,13.149031,7.0,2.1 كم,لا,OSM node/5052042221
0070,طرابلس,جنوب غرب طرابلس,حي الكويت,جنزور,Kuwait Suburb,32.833591,13.01583,16.7,1.3 كم,لا,OSM node/9376228339
0071,طرابلس,جنوب غرب طرابلس,حي الوحدة,حي الأندلس,Al Wahda,32.852503,13.079568,10.4,5.2 كم,لا,OSM node/7870006900
0072,طرابلس,جنوب غرب طرابلس,فيلات الدريبي حي الزهور,حي الأندلس,,32.843617,13.117843,8.1,3.6 كم,لا,OSM node/4379419197
0073,طرابلس,شرق طرابلس,A'Arada,سوق الجمعة,,32.885024,13.285118,10.1,2.6 كم,نعم,OSM relation/14708389
0074,طرابلس,شرق طرابلس,Abu Sittia,سوق الجمعة,,32.899897,13.227788,4.7,3.3 كم,نعم,OSM relation/14708502
0075,طرابلس,شرق طرابلس,النوفليين,سوق الجمعة,Noofliyyeen,32.891036,13.215965,3.6,3.9 كم,لا,OSM relation/14708500
0076,طرابلس,شرق طرابلس,Suq Al-Jumla,سوق الجمعة,,32.888975,13.262284,7.9,0.8 كم,نعم,OSM relation/14714035
0077,طرابلس,شرق طرابلس,أبو الاشهر,تاجوراء,Abu Al Ashahr,32.896458,13.309152,12.3,4.3 كم,لا,OSM relation/14708372
0078,طرابلس,شرق طرابلس,الكواتب,تاجوراء,Al-Kwateb,32.890976,13.348889,16.0,0.9 كم,لا,OSM way/1344426967
0079,طرابلس,شرق طرابلس,الهاني,سوق الجمعة,,32.884157,13.227037,4.8,2.8 كم,لا,OSM relation/14714052
0080,طرابلس,شرق طرابلس,الهنشير,سوق الجمعة,Al Hanshir,32.897623,13.237559,5.6,2.4 كم,لا,OSM node/1565509156
0081,طرابلس,شرق طرابلس,بو الأشهر,تاجوراء,Bu al Ashhar,32.883422,13.316787,13.1,3.3 كم,لا,OSM node/1565510642
0082,طرابلس,شرق طرابلس,حي سكني تريلات,تاجوراء,Motel,32.846415,13.395138,21.1,5.7 كم,لا,OSM node/5123058721
0083,طرابلس,شرق طرابلس,عمارات سمافرو مستشفى القلب,تاجوراء,Residential quarter Heart Hospital,32.87642,13.393915,20.3,3.9 كم,لا,OSM node/5539173622
0084,طرابلس,شرق طرابلس,قبلية أولاد ذياب,سوق الجمعة,Qabilat Awlad Dhiyab,32.902222,13.270833,8.7,2.5 كم,لا,OSM node/1565511489
0085,طرابلس,طرابلس المركز,Abu-Hrida,أبوسليم,,32.876436,13.1765,2.3,3.9 كم,نعم,OSM relation/14708291
0086,طرابلس,طرابلس المركز,Aljala,حي الأندلس,,32.886348,13.161915,1.9,3.4 كم,نعم,OSM relation/14713893
0087,طرابلس,طرابلس المركز,Almaari,حي الأندلس,,32.890855,13.17199,0.8,4.4 كم,نعم,OSM relation/14713892
0088,طرابلس,طرابلس المركز,Alsreem,أبوسليم,,32.883669,13.183565,1.5,4.8 كم,نعم,OSM relation/14713904
0089,طرابلس,طرابلس المركز,Bab Azizia,أبوسليم,,32.87185,13.172707,2.8,3.4 كم,نعم,OSM relation/14708292
0090,طرابلس,طرابلس المركز,بن عاشور,سوق الجمعة,Ben Ashour,32.878086,13.205684,3.3,4.8 كم,لا,OSM relation/14713957
0091,طرابلس,طرابلس المركز,Dahra,سوق الجمعة,,32.892062,13.197579,1.9,5.6 كم,نعم,OSM relation/14713971
0092,طرابلس,طرابلس المركز,Downtown,حي الأندلس,,32.890741,13.177843,0.7,4.9 كم,نعم,OSM relation/14713897
0093,طرابلس,طرابلس المركز,Fashloum,سوق الجمعة,,32.887777,13.201352,2.4,5.2 كم,نعم,OSM relation/14713956
0094,طرابلس,طرابلس المركز,Mansoura,حي الأندلس,,32.880106,13.168148,2.1,3.8 كم,نعم,OSM relation/14713905
0095,طرابلس,طرابلس المركز,Shar'a Zawya,أبوسليم,,32.877124,13.188693,2.4,4.3 كم,نعم,OSM relation/14713917
0096,طرابلس,طرابلس المركز,Sidi Khalifa,أبوسليم,,32.875184,13.184981,2.5,3.9 كم,نعم,OSM relation/14708323
